vr_unbrain,vl_unbrain,prev_vl,prev_vr,vl_real,vr_real
-9.8489091386,33.0269099808,31.8933693252,-11.1070463392,-66.6666666667,-49.1552432378
-8.4847057222,34.2567558474,33.0760554886,-9.8057758237,-66.6666666667,-41.4287885030
-7.3922509617,35.5181616627,34.2810280903,-8.5426086495,-66.6666666667,-38.1642858187
-5.9965913594,36.6368539509,35.4885556421,-7.2742929490,-66.6666666667,-35.4604403178
-4.6543630539,37.6541657334,36.6730441209,-5.9524548855,-66.6666666667,-20.4323510329
-3.1541809238,39.0681220360,37.8265660094,-4.5689233910,-63.2714033127,6.6617960731
-1.8299899736,40.2386483668,38.9716166490,-3.1726668948,-44.2260980606,24.1181910038
-1.8598226849,39.9793745209,40.1424690073,-1.8283400430,-30.7498455048,24.2730518182
-16.2965494999,45.2540873368,40.1424690073,-1.8283400430,-26.8286188444,12.1821910143
-23.4384092706,38.2230212584,45.2018179456,-16.2214132231,0.0000000000,66.6666666667
-29.0287898160,31.1404143672,38.1940137997,-23.4669427475,8.5811237494,66.6666666667
-26.8735580564,29.9926642793,31.2995569141,-28.9876060012,0.0000000000,66.6666666667
-22.2972741436,33.4173818072,30.0085006102,-26.9340311390,5.3034931421,66.6666666667
-19.0731800711,34.9986354769,33.3328171446,-22.3491593213,11.7280264695,66.6666666667
-17.7841635093,36.3006844106,35.0372887341,-19.0990138353,3.6565773189,66.6666666667
-16.6629470501,37.4054804448,36.1786901275,-17.8612496335,0.0000000000,66.6666666667
-15.3054211374,38.6769300990,37.3603953730,-16.6267516989,27.2899568081,66.6666666667
-39.8588614117,13.9488956351,38.5349903780,-15.3282207905,16.6902581851,66.6666666667
-40.9204336483,12.4371348817,13.9361718826,-39.6831571091,21.2065537771,59.8449190458
-41.9761816743,11.2300152152,12.5131250658,-40.8228266345,11.4001135031,46.6173132261
-43.3212461363,9.8558721509,11.1557313454,-41.9922046142,13.8484895229,45.9858059883
-44.4506640800,8.4073177771,9.8847565864,-43.2007442874,16.2821153800,29.9081861973
-45.6878228220,7.2781648840,8.6127184622,-44.4077557214,15.9897108873,25.5074958007
-46.8353105524,5.8924882531,7.2360908633,-45.5603161774,21.6830372810,24.6031820774
-37.5304618505,2.6719572921,5.7848037519,-46.6680633179,21.1901982625,18.2482202848
-30.3388299584,-0.7982170637,2.6374261312,-37.5841572756,12.1643702189,25.3589292367
-22.4258396012,-4.1044762133,-0.7786360634,-30.3185106728,5.2669410904,11.4192664623
